,ID,Text,Date Created,Username,Twitter Screen Name,Location,Cleaned Text,Retweet,Retweeted Person
0,1138662868180709376,b'RT @Hope012015: Trump waves a single sheet of paper that he claims holds secret Mexico deal https://t.co/EsynD4HaAB via @nbcnews',2019-06-12 04:22:37,Michele Daitz,Bexmich,, Hope012015 Trump waves a single sheet of paper that he claims holds secret Mexico deal via nbcnews,True,@Hope012015:
1,1138662864300851200,b'RT @PalmerReport: This week Donald Trump has attacked:\n\n- President Obama\n- CNN\n- Meghan Markle\n- New York Times\n- Donny Deutsch\n- MSNBC\n-\xe2\x80\xa6',2019-06-12 04:22:36,AnalisaSwan#DemForce,Analisa_Swan,"Los Angeles, CA", PalmerReport This week Donald Trump has attacked President barman cnn meehan macklen New York times Donny deutsche MSNBCn,True,@PalmerReport:
2,1138662860140060672,b'RT @joncoopertweets: The owner of Igoe bar said she wasn\xe2\x80\x99t worried at first when Don Jr and Eric skipped out on the tab. She assumed someon\xe2\x80\xa6',2019-06-12 04:22:35,Doug Hague,dhague57,sacramento, joncoopertweets The owner of igor bar said she was worried at first when Don Jr and Eric skipped out on the tab She assumed someone,True,@joncoopertweets:
3,1138662857665589249,"b'RT @raymysterio305: TO: PRESIDENT DONALD J TRUMP\n\nMr President,\n\nYou have come into the Presidency and saved America from CERTAIN DOOM afte\xe2\x80\xa6'",2019-06-12 04:22:35,BAMA FAN 👌Still a BOSS 🇺🇸,Bama_Patriot,Alabama, raymysterio305 TO PRESIDENT DONALD J TRUMPnnMr PresidentnnYou have come into the Presidency and saved America from CERTAIN DOOM after,True,@raymysterio305:
4,1138662855014662145,b'RT @robreiner: Donald Trump has committed numerous Federal crimes. The Mueller report says so. Yet most members of Congress have not read i\xe2\x80\xa6',2019-06-12 04:22:34,Barbara Ellert,bjellert06,"Phoenix, AZ", robreiner Donald Trump has committed numerous Federal crimes The Mueller report says so Yet most members of Congress have not read i,True,@robreiner:
5,1138662852066070528,"b'RT @CNNEE: Donald Trump asegur\xc3\xb3 que existe una parte secreta del acuerdo con M\xc3\xa9xico que tendr\xc3\xa1 que revelar ""cuando sea el momento"". Jorge C\xe2\x80\xa6'",2019-06-12 04:22:33,Dani J Lucho,DaniJLucho,, inner Donald Trump snegur que exist una parte secret del acuerdo con M que tend que regular quando sea el momento Jorge C,True,@CNNEE:
6,1138662836673142784,b'https://t.co/cHYIU9gPrh',2019-06-12 04:22:30,Veterans United March,VetsUnitedMarch,"St Louis, MO",,False,None
7,1138662835939094528,"b""RT @ewarren: I read the whole Mueller report. It's clear that Donald Trump obstructed an investigation into an attack on America and into h\xe2\x80\xa6""",2019-06-12 04:22:30,Hugo Stiglitz,artisteboy,"Oshkosh, Wi", warren I read the whole Mueller report Its clear that Donald Trump obstructed an investigation into an attack on America and into h,True,@ewarren:
8,1138662824241115137,"b'RT @aseitzwald: Pete Buttigieg 11:41 am: ""You will not see me exchanging love letters with on WH letterhead with a brutal dictator.""\n\nDonal\xe2\x80\xa6'",2019-06-12 04:22:27,Kris M Beal,Krazy_Kris,"Paso Robles, CA", aseitzwald Pete Buttigieg 1141 am You will not see me exchanging love letters with on WH letterhead with a brutal dictatornnDonal,True,@aseitzwald:
9,1138662812069183488,b'RT @funder: Trump and anyone else who says the case with Russia is closed is a liar. Tomorrow Donald Trump Jr. is testifying in front of th\xe2\x80\xa6',2019-06-12 04:22:24,Katielou,Katielou99,"British Columbia, Canada", funder Trump and anyone else who says the case with Russia is closed is a liar Tomorrow Donald Trump Jr is testifying in front of th,True,@funder:
10,1138662811901599744,"b'DONALD TRUMP, UNA LLAVE MAGICA DE LA FE PARA TODOS LOS PRESIDENTES DEL MUNDO. \n\nPastores oran por presidente de Bra\xe2\x80\xa6 https://t.co/glZtyeUFmy'",2019-06-12 04:22:24,MARYS SENA PEREZ,msenaper2,Santo Domingo Republica Domini, DONALD TRUMP UNA leave magic DE LA FE PARA todor LOS presidents DEL MUNDO nnPastores oran por president de Bra,False,None
11,1138662805786284033,"b""Donald Trump's remaining House GOP apologists go off a cliff https://t.co/QUHd0zCctY""",2019-06-12 04:22:22,Palmer Report,PalmerReport,"Los Angeles, CA", Donald Trumps remaining House got apologists go off a cliff,False,None
