,ID,Text,Date Created,Username,Twitter Screen Name,Location,Cleaned Text,Retweet,Retweeted Person
0,1135036800785735683,b'Ang ganda ng teacher ni gill sana olHAHAHAH',2019-06-02 04:13:55,Aquicia Malate,aquicia_malate,San andres Sports Complex,Ang ganda ng teacher ni gill sana olHAHAHAH,False,None
1,1134751742678249472,"b'RT @siasatpk: \xd8\xac\xd8\xa8 \xd8\xa2\xd9\xbe \xda\xa9\xd8\xaf\xd9\x88 \xd8\xa7\xd9\x88\xd8\xb1 \xd8\xaa\xd8\xb1\xd8\xa8\xd9\x88\xd8\xb2 \xda\xa9\xd9\x88 \xd8\xa7\xda\xa9\xd9\xb9\xda\xbe\xdb\x92 \xd8\xaa\xd9\x88\xd9\x84\xdb\x8c\xda\xba \xda\xaf\xdb\x92 \xd8\x8c \xd8\xa2\xd9\x84\xd9\x88 \xd8\xa7\xd9\x88\xd8\xb1 \xd8\xb3\xdb\x8c\xd8\xa8 \xd9\x85\xdb\x8c\xda\xba \xd9\x81\xd8\xb1\xd9\x82 \xd9\x86\xdb\x81\xdb\x8c\xda\xba \xda\xa9\xd8\xb1\xdb\x8c\xda\xba \xda\xaf\xdb\x92 \xd8\xaa\xd9\x88 \xd9\x85\xd8\xac\xda\xbe\xdb\x92\xdb\x94\xdb\x94 ""- \xd8\xb4\xdb\x81\xd8\xa8\xd8\xa7\xd8\xb2\xda\xaf\xd9\x84 \xda\xa9\xdb\x92 \xd8\xa7\xdb\x8c\xd9\x86\xda\xa9\xd8\xb1 \xd8\xb1\xd8\xad\xd9\x85\xd8\xa7\xd9\x86 \xd8\xa7\xd8\xb8\xdb\x81\xd8\xb1 \xd8\xa7\xd9\x88\xd8\xb1 \xd8\xb1\xd8\xa7\xd9\x86\xd8\xa7 \xd8\xa7\xd9\x81\xe2\x80\xa6'",2019-06-01 09:21:12,Sana Siddiqui,sana_mishi,"Lahore, Pakistan",siasatpk                             ,True,@siasatpk:
2,1133699974686957568,b'@gillianeluy_ hi gill hahaha. NAPAKAKULIT sa team teach ko haha. Very masungit pero mabait talaga :P ang dami niyan\xe2\x80\xa6 https://t.co/KXdYJ6909D',2019-05-29 11:41:51,Zidney Yu,zidneyu,,gillianeluy hi gill hahaha NAPAKAKULIT sa team teach ko haha Very masungit pero mabait talaga P ang dami niyan httpstcoKXdYJ6909D,False,None
3,1133392529116811265,b'@gill_devera Ay kilala mo hahaha sana kilala nya rin kung sino sya no? Waive ka namn kung kilala mo sarili mo hahahaa',2019-05-28 15:20:11,Tey,Tey_Roque,"Makati City, National Capital ",gilldevera Ay kilala mo hahaha sana kilala nya rin kung sino sya no Waive ka namn kung kilala mo sarili mo hahahaa,False,None
4,1133335101662568450,b'RT @saraaosw: @nurullsyafina Noty noty pstu kita rotan sana sikit ikat sana sini uwu',2019-05-28 11:31:59,K. Gill,kx_gill,,saraaosw nurullsyafina Noty noty pstu kita rotan sana sikit ikat sana sini uwu,True,@saraaosw:
