,ID,Text,Date Created,Username,Twitter Screen Name,Location,Cleaned Text,Retweet,Retweeted Person
0,1136737968650166272,b'RT @elijahdaniel: it\xe2\x80\x99s pride month \xf0\x9f\x8c\x88  time for a thread of all the dumb gay shit I\xe2\x80\x99ve done the past couple years. We\xe2\x80\x99ll start easy:\nthat ti\xe2\x80\xa6',2019-06-06 20:53:45,GOD,deadofphangirl,"Wisconsin, USA",elijahdaniel it pride month   time for a thread of all the dumb gay shit I done the past couple years We start easynthat ti,True,@elijahdaniel:
1,1136737968532709376,b'RT @NHSMillion: If everyone who opposes Donald Trump\xe2\x80\x99s plans for our NHS followed and retweeted we\xe2\x80\x99d reach a million before he gets home\n\nh\xe2\x80\xa6',2019-06-06 20:53:45,Buxton ❤️ Europe,BxtnLovesEurope,"Buxton and High Peak, Derbyshire",NHSMillion If everyone who opposes Donald Trump plans for our NHS followed and retweeted we reach a million before he gets homennh,True,@NHSMillion:
2,1136737967630950403,"b""@GOP Instead... support someone who doesn't lie all the time like....\n\nDonald Trump?\n\noh.""",2019-06-06 20:53:45,A Young Low Level Volunteer Named George,LowLevelGeorge,White House Drop Ceiling,GOP Instead support someone who doesnt lie all the time likennDonald Trumpnnoh,False,None
3,1136737964866777088,"b'@realDonaldTrump it isn\'t ""fake"" when ALL of your quotes were recorded or witnessed.\n#WorstPresidentEVER\n\nhttps://t.co/vojku7CSRa'",2019-06-06 20:53:45,Steve Lee,SteveLeeHwd,"Hollywood, CA",realDonaldTrump it isn fake when ALL of your quotes were recorded or witnessednWorstPresidentEVERnnhttpstcovojku7CSRa,False,None
4,1136737959141679105,b'RT @PalmerReport: Donald Trump\xe2\x80\x99s day so far:\n\n- Calls Chuck Schumer a \xe2\x80\x9ccreep\xe2\x80\x9d\n- Calls Bette Midler a \xe2\x80\x9cpsycho\xe2\x80\x9d\n- Who the fuck attacks Bette\xe2\x80\xa6',2019-06-06 20:53:43,Albert F Support Dem,afaduln2,The world,PalmerReport Donald Trump day so farnn Calls Chuck Schumer a  Calls Bette Midler a  Who the fuck attacks Bette,True,@PalmerReport:
5,1136737958202171392,b'RT @PalmerReport: Donald Trump held up the start of today\xe2\x80\x99s D-Day ceremony for fifteen minutes so he could sit down with Fox News and insul\xe2\x80\xa6',2019-06-06 20:53:43,USAinDanger,EmergencyDays,"Secret ville, NOYB",PalmerReport Donald Trump held up the start of today DDay ceremony for fifteen minutes so he could sit down with Fox News and insul,True,@PalmerReport:
6,1136737956939669512,b'RT @BradWillmore: @MariekeWalsh @ToddSmithPC @AndrewScheer Sounds like Donald Trump.',2019-06-06 20:53:43,NNorma,NNorma192,,BradWillmore MariekeWalsh ToddSmithPC AndrewScheer Sounds like Donald Trump,True,@BradWillmore:
7,1136737951679897606,"b""RT @Nicoxw1: Vladimir Putin wasn't invited to the D-Day commemoration, leaving Donald Trump as Russia's only representative.\n#DDay75thAnniv\xe2\x80\xa6""",2019-06-06 20:53:41,Theresa Hoover,FullHoover,"San Diego, CA",Nicoxw1 Vladimir Putin wasnt invited to the DDay commemoration leaving Donald Trump as Russias only representativenDDay75thAnniv,True,@Nicoxw1:
8,1136737947439362048,"b'RT @snowycats: Donald Trump and Bette Midler Are Feuding, but the Actress Managed to Perfectly Shut Him Down https://t.co/Kp6DyCxjvS.  What\xe2\x80\xa6'",2019-06-06 20:53:40,danny jackson,irenenog,"Western Australia, Australia",snowycats Donald Trump and Bette Midler Are Feuding but the Actress Managed to Perfectly Shut Him Down httpstcoKp6DyCxjvS  What,True,@snowycats:
9,1136737942330888192,b'RT @Strandjunker: Donald Trump came down harder on Bette Midler for tweeting than he did on Saudi crown prince Mohammad bin Salman for lite\xe2\x80\xa6',2019-06-06 20:53:39,tyler ➊,itsTylerMikal,"Too-Muchery Village, Florida",Strandjunker Donald Trump came down harder on Bette Midler for tweeting than he did on Saudi crown prince Mohammad bin Salman for lite,True,@Strandjunker:
