,Cleaned Text,Date Created,ID,Location,Retweet,Retweeted Person,Text,Twitter Screen Name,Username
0,bRT Santucci A source close to Trump Jr says the presidentxe2x80x99s eldest son is xe2x80x9cincredibly appreciative to the members that went to bat for hixe2x80xa6,2019-05-16 05:00:46,1128887996290359296,East Coast USA,False,None,b'RT @Santucci: A source close to Trump Jr says the president\xe2\x80\x99s eldest son is \xe2\x80\x9cincredibly appreciative to the members that went to bat for hi\xe2\x80\xa6',Katydidsiriusly,Kate Manzo
1,bRT NTN24ve HaceMinutos Donald Trump xe2x80x9cVenezuela estxc3xa1 en las puertas de un acontecimiento histxc3xb3ricoxe2x80x9d httpstcoaeB6WDXDvV,2019-05-16 05:00:44,1128887987700469760,Maracay Aragua,False,None,b'RT @NTN24ve: [#HaceMinutos] Donald Trump: \xe2\x80\x9cVenezuela est\xc3\xa1 en las puertas de un acontecimiento hist\xc3\xb3rico\xe2\x80\x9d https://t.co/aeB6WDXDvV',Fina02,Fina Pérez Méndez
2,bRT usembassyve xe2x80x9cEl pueblo de Venezuela estxc3xa1 en las puertas de un acontecimiento histxc3xb3rico preparado para recuperar su paxc3xads y futuroxe2x80x9d  Pxe2x80xa6,2019-05-16 05:00:43,1128887984671952896,Peru,False,None,"b'RT @usembassyve: \xe2\x80\x9cEl pueblo de Venezuela est\xc3\xa1 en las puertas de un acontecimiento hist\xc3\xb3rico, preparado para recuperar su pa\xc3\xads y futuro\xe2\x80\x9d - P\xe2\x80\xa6'",maldittagordura,Mercy Franco
3,bRT OrinKerr Very interesting article about Trumps decadeslong love of tariffs  httpstcoYEswsyHMDf,2019-05-16 05:00:43,1128887983032209408,"Baytown, TX",False,None,"b""RT @OrinKerr: Very interesting article about Trump's decades-long love of tariffs.  https://t.co/YEswsyHMDf""",battlingsiki,Mike
4,bRT snelsonagain Beto ORourke is toughest candidate I ever prepped against  Opinion httpstcovR61w8z8sD,2019-05-16 05:00:42,1128887980410712069,,False,None,"b""RT @snelsonagain: Beto O'Rourke is toughest candidate I ever prepped against | Opinion https://t.co/vR61w8z8sD""",carylcasson,Caryl Casson
5,bRT treasonstickers Russia if youxe2x80x99re listening I hope youxe2x80x99re able to find the medical records from the abortion procedures where Donaldxe2x80xa6,2019-05-16 05:00:42,1128887978737033217,,False,None,"b'RT @treasonstickers: Russia, if you\xe2\x80\x99re listening, I hope you\xe2\x80\x99re able to find the medical records from the abortion procedures where Donald\xe2\x80\xa6'",Bette34,Bette
6,bPresident Trump took 100 million away from Planned Parenthoods international abortion business nnToday in 2017xe2x80xa6 httpstcoxT2uvqKKgD,2019-05-16 05:00:38,1128887960169058305,USA,False,None,"b""President Trump took $100 million away from Planned Parenthood's international abortion business! \n\nToday in 2017:\xe2\x80\xa6 https://t.co/xT2uvqKKgD""",LifeNewsToo,LifeNews
7,bRT NTN24ve El presidente de EE UU Donald Trump afirmxc3xb3 este jueves que Venezuela estxc3xa1 xe2x80x9cen las puertasxe2x80x9d de un acontecimiento histxc3xb3ricoxe2x80xa6,2019-05-16 05:00:37,1128887957874774017,,False,None,"b'RT @NTN24ve: El presidente de EE. UU., Donald Trump, afirm\xc3\xb3 este jueves que Venezuela est\xc3\xa1 \xe2\x80\x9cen las puertas\xe2\x80\x9d de un acontecimiento hist\xc3\xb3rico\xe2\x80\xa6'",AMileyda,Ana Rodrigues
8,bRT LindaSuhler xf0x9fx87xbaxf0x9fx87xb8Dont miss President Donald Trumpxe2x80x99s MAGA Rally Mon May 20 in Montoursville Pennsylvania TRUMP2020 PAnxf0x9fx92xa57 PM EDTnnPxe2x80xa6,2019-05-16 05:00:36,1128887954150051841,,False,None,"b""RT @LindaSuhler: \xf0\x9f\x87\xba\xf0\x9f\x87\xb8Don't miss President Donald Trump\xe2\x80\x99s #MAGA Rally Mon, May 20, in Montoursville, Pennsylvania! #TRUMP2020 #PA\n\xf0\x9f\x92\xa57 PM EDT\n\nP\xe2\x80\xa6""",TakeTime2B,I want Peace...
9,bRT funder When Lindsey Graham told Donald Trump Jr not to comply with a Senate subpoena he was obstructing justice Retweet if you agreexe2x80xa6,2019-05-16 05:00:36,1128887954112278528,"Nevada, USA",False,None,"b'RT @funder: When Lindsey Graham told Donald Trump Jr not to comply with a Senate subpoena, he was obstructing justice. Retweet if you agree\xe2\x80\xa6'",RenoTraci88,Traci
10,bRT usembassyve xe2x80x9cEl pueblo de Venezuela estxc3xa1 en las puertas de un acontecimiento histxc3xb3rico preparado para recuperar su paxc3xads y futuroxe2x80x9d  Pxe2x80xa6,2019-05-16 05:00:36,1128887953579827200,,False,None,"b'RT @usembassyve: \xe2\x80\x9cEl pueblo de Venezuela est\xc3\xa1 en las puertas de un acontecimiento hist\xc3\xb3rico, preparado para recuperar su pa\xc3\xads y futuro\xe2\x80\x9d - P\xe2\x80\xa6'",Nellallata,Maria Llata Piña
11,bRT treasonstickers Russia if youxe2x80x99re listening I hope youxe2x80x99re able to find the medical records from the abortion procedures where Donaldxe2x80xa6,2019-05-16 05:00:34,1128887944150786048,,False,None,"b'RT @treasonstickers: Russia, if you\xe2\x80\x99re listening, I hope you\xe2\x80\x99re able to find the medical records from the abortion procedures where Donald\xe2\x80\xa6'",didwyll,TruthSeeker
12,bRT funder When Lindsey Graham told Donald Trump Jr not to comply with a Senate subpoena he was obstructing justice Retweet if you agreexe2x80xa6,2019-05-16 05:00:33,1128887942930358272,,False,None,"b'RT @funder: When Lindsey Graham told Donald Trump Jr not to comply with a Senate subpoena, he was obstructing justice. Retweet if you agree\xe2\x80\xa6'",DreamerQt,1QTDreamer
13,bHEY DONALD TRUMP httpstcoz5XYNdWzD0,2019-05-16 05:00:32,1128887937255350273,,False,None,b'HEY DONALD TRUMP https://t.co/z5XYNdWzD0',john_osorio1117,johnosorio
14,bRT funder When Lindsey Graham told Donald Trump Jr not to comply with a Senate subpoena he was obstructing justice Retweet if you agreexe2x80xa6,2019-05-16 05:00:32,1128887936173273088,,False,None,"b'RT @funder: When Lindsey Graham told Donald Trump Jr not to comply with a Senate subpoena, he was obstructing justice. Retweet if you agree\xe2\x80\xa6'",saraswati_79,Marina Y
