,ID,Text,Date Created,Username,Twitter Screen Name,Location,Cleaned Text,Retweet,Retweeted Person
0,1137927396462436352,"b'RT @TheDemCoalition: ""When Donald Trump took out that full page ad in New York city newspapers calling for our execution, he placed a bount\xe2\x80\xa6'",2019-06-10 03:40:07,TommieGirl,Soulrebel671,"Guam, USA",TheDemCoalitionaWhenaDonaldaTrumpatookaoutathatafullapageaadainaNewaYorkacityanewspapersacallingaforaouraexecutionaheaplacedaaabount,True,@TheDemCoalition:
1,1137927390057893893,"b'It\'s sad how white supremacists call me a ""race traitor"" but don\'t think Donald Trump is a traitor.'",2019-06-10 03:40:06,Sergio Siano,sianoresist,"Bronx, NY",ItasadahowawhiteasupremacistsacallameaaaraceatraitorabutadonathinkaDonaldaTrumpaisaaatraitor,False,None
2,1137927390032609280,b'RT @charliekirk11: Donald Trump has kept nearly all his promises:\n\nTax cuts-passed\n\nIsraeli Embassy-moved to Jerusalem\n\nTrade deals-renegot\xe2\x80\xa6',2019-06-10 03:40:06,David Sherman  🇺🇸,PnwDavid,PNW,charliekirk11aDonaldaTrumpahasakeptanearlyaallahisapromisesnnTaxacutspassednnIsraeliaEmbassymovedatoaJerusalemnnTradeadealsrenegot,True,@charliekirk11:
3,1137927388401229835,"b'RT @stefanstern: ""You spend a lifetime cringing at Prince Philip insulting people, and the one time you want him to, he\xe2\x80\x99s retired."" Get a d\xe2\x80\xa6'",2019-06-10 03:40:05,Mandy Colleran,disabilitydiva,,stefansternaYouaspendaaalifetimeacringingaataPrinceaPhilipainsultingapeopleaandatheaoneatimeayouawantahimatoahearetiredaGetaaad,True,@stefanstern:
4,1137927387763617792,b'RT @PalmerReport: Donald Trump goes berserk after learning John Dean is testifying against him https://t.co/Ar8w6l8G5c',2019-06-10 03:40:05,Ann Butler,NutleyGirl5,"Bainbridge, OH",PalmerReportaDonaldaTrumpagoesaberserkaafteralearningaJohnaDeanaisatestifyingaagainstahima,True,@PalmerReport:
5,1137927385716838400,"b'As you might imagine, the MSM hasn\xe2\x80\x99t uttered a word. \n\nDid @FLOTUS not look simply amazing at the D-Day Anniversary\xe2\x80\xa6 https://t.co/JStk0y3voN'",2019-06-10 03:40:05,💪🏻 🇺🇸 BJ 🇺🇸 💪🏻,BJLieDetector,,AsayouamightaimagineatheaMSMahasnautteredaaawordannDidaFLOTUSanotalookasimplyaamazingaatatheaDDayaAnniversarya,False,None
6,1137927376158056448,b'RT @dbongino: My new book \xe2\x80\x9cExonerated: The Failed Takedown of President Donald Trump by the Swamp\xe2\x80\x9d blows the doors off of the scheme to des\xe2\x80\xa6',2019-06-10 03:40:02,Edward Foreman,EdwardForeman13,,dbonginoaMyanewabookaaTheaFailedaTakedownaofaPresidentaDonaldaTrumpabyatheaSwampablowsatheadoorsaoffaofatheaschemeatoades,True,@dbongino:
7,1137927374895570944,b'RT @charliekirk11: Donald Trump has kept nearly all his promises:\n\nTax cuts-passed\n\nIsraeli Embassy-moved to Jerusalem\n\nTrade deals-renegot\xe2\x80\xa6',2019-06-10 03:40:02,Reggie Red Pill,pill_reggie,"New York, USA",charliekirk11aDonaldaTrumpahasakeptanearlyaallahisapromisesnnTaxacutspassednnIsraeliaEmbassymovedatoaJerusalemnnTradeadealsrenegot,True,@charliekirk11:
8,1137927373784080384,b'RT @joncoopertweets: The owner of Igoe bar said she wasn\xe2\x80\x99t worried at first when Don Jr and Eric skipped out on the tab. She assumed someon\xe2\x80\xa6',2019-06-10 03:40:02,Kathleen Petro,klp621,,joncoopertweetsaTheaowneraofaIgoeabarasaidasheawasnaworriedaatafirstawhenaDonaJraandaEricaskippedaoutaonatheatabaSheaassumedasomeon,True,@joncoopertweets:
9,1137927372961923072,"b'RT @The_Trump_Train: Russia donated $0 to Donald Trump.\n\nRussia donated $145,600,000 to the Clinton Foundation.\n\nSo why is @realDonaldTrump\xe2\x80\xa6'",2019-06-10 03:40:02,donna armstrong,alamodonna,"Enchanted Village Greater Harmony Hills, San Antonio",TheTrumpTrainaRussiaadonateda0atoaDonaldaTrumpnnRussiaadonateda145600000atoatheaClintonaFoundationnnSoawhyaisarealDonaldTrump,True,@The_Trump_Train:
10,1137927372643155968,b'RT @charliekirk11: Donald Trump has kept nearly all his promises:\n\nTax cuts-passed\n\nIsraeli Embassy-moved to Jerusalem\n\nTrade deals-renegot\xe2\x80\xa6',2019-06-10 03:40:01,EIF HEADSHOT,thejacibh2,,charliekirk11aDonaldaTrumpahasakeptanearlyaallahisapromisesnnTaxacutspassednnIsraeliaEmbassymovedatoaJerusalemnnTradeadealsrenegot,True,@charliekirk11:
11,1137927369803673601,b'RT @charliekirk11: Donald Trump has kept nearly all his promises:\n\nTax cuts-passed\n\nIsraeli Embassy-moved to Jerusalem\n\nTrade deals-renegot\xe2\x80\xa6',2019-06-10 03:40:01,SoggyWodders ❌,fotophilNC,Milky Way - LIST=BLOCK,charliekirk11aDonaldaTrumpahasakeptanearlyaallahisapromisesnnTaxacutspassednnIsraeliaEmbassymovedatoaJerusalemnnTradeadealsrenegot,True,@charliekirk11:
12,1137927368658628611,b'White House tree symbolising friendship between Donald Trump and Emmanuel Macron has died https://t.co/HQJC6t6aRG',2019-06-10 03:40:01,SCMP News,SCMPNews,Hong Kong,WhiteaHouseatreeasymbolisingafriendshipabetweenaDonaldaTrumpaandaEmmanuelaMacronahasadieda,False,None
13,1137927367161200641,b'RT @TrueFactsStated: Oh Jesus: Did Trump Really Skim Charity Money from Kids with Cancer? | Vanity Fair https://t.co/Tu2lGxgMpe',2019-06-10 03:40:00,Boudica,BodicaSally,,TrueFactsStatedaOhaJesusaDidaTrumpaReallyaSkimaCharityaMoneyafromaKidsawithaCanceraaVanityaFaira,True,@TrueFactsStated:
14,1137927365751820288,b'RT @MarchForTruth17: Donald Trump continues to tell lies about the Mueller investigation. He and his henchman Attorney General William Barr\xe2\x80\xa6',2019-06-10 03:40:00,Anastasia Beaverhausen,Jedi_Jello,"The Loop, Chicago",MarchForTruth17aDonaldaTrumpacontinuesatoatellaliesaaboutatheaMuellerainvestigationaHeaandahisahenchmanaAttorneyaGeneralaWilliamaBarr,True,@MarchForTruth17:
